caldt,vwretd,ewretd,sprtrn,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
19260427,-0.001832,-0.003240,,0.001530,-0.009505,-0.005430,-0.003865,-0.001848,-0.007494,-0.000800,-0.002731,-0.003048,-0.000967
19260428,0.005124,0.000919,,0.001211,-0.003358,-0.009426,0.000983,0.002328,0.004615,0.000640,0.000555,0.004265,0.007088
19260429,0.001573,0.002727,,0.005815,-0.000364,0.003810,0.004806,0.002534,0.002335,0.003440,0.002392,0.000530,0.001397
19260430,-0.002373,-0.005878,,-0.000995,-0.010784,-0.004065,-0.008506,-0.001845,-0.006011,-0.005320,-0.001188,-0.001996,-0.001980
19260501,-0.001970,-0.002945,,-0.002117,-0.002607,-0.002217,0.000052,-0.004942,-0.001203,-0.004322,-0.002800,-0.003134,-0.001250
19260503,-0.016797,-0.016987,,-0.019560,-0.007102,-0.020690,-0.028001,-0.020808,-0.018494,-0.017694,-0.020107,-0.017667,-0.015404
19260504,0.004495,0.003065,,0.001001,-0.002864,0.007516,0.001378,0.005617,0.003284,0.001863,0.005305,0.003351,0.005071
19260505,0.002307,0.004807,,0.010554,-0.000834,-0.001148,0.007829,0.004770,0.007128,0.007373,0.003387,0.003908,0.000837
19260506,0.001304,0.001041,,-0.001281,-0.000813,-0.000995,-0.003558,0.007561,0.000569,-0.001676,0.004469,0.001159,0.001094
19260507,-0.008851,-0.007918,,-0.010586,-0.006083,-0.008461,-0.004852,-0.012885,-0.010755,-0.006912,-0.011031,-0.009107,-0.008482
19260508,-0.000467,0.000138,,-0.000520,-0.001412,0.002571,-0.005796,-0.000236,-0.001255,0.001220,0.000055,-0.001735,-0.000204
19260510,-0.004865,-0.007767,,-0.011402,-0.004539,-0.004852,-0.007644,-0.009896,-0.009127,-0.010047,-0.003132,-0.004924,-0.004177
19260511,0.000837,0.002477,,0.005356,-0.001008,-0.005424,0.007451,0.003818,0.003651,0.003603,0.002073,0.001997,-0.000225
19260512,0.002661,0.002486,,0.006794,-0.000661,0.005282,0.001159,0.006648,0.002808,0.000024,0.000107,0.004006,0.002742
19260513,-0.001592,-0.002160,,-0.005726,-0.000434,0.003176,0.001487,-0.004691,-0.003453,0.002609,-0.001160,-0.001579,-0.001971
19260514,-0.001284,-0.001121,,-0.003298,-0.005116,0.000042,-0.000063,-0.004828,0.000657,-0.000701,-0.001821,-0.002428,-0.000874
19260515,-0.003729,-0.003649,,0.000578,-0.011211,-0.002698,0.003348,-0.005009,-0.004983,-0.004381,-0.002853,-0.005341,-0.003366
19260517,-0.000167,-0.003150,,-0.004239,-0.003263,-0.011405,-0.002113,-0.001973,-0.004180,-0.000872,-0.001851,0.001784,0.000153
19260518,-0.001779,-0.004233,,-0.020767,-0.005373,-0.000209,-0.002860,-0.004825,-0.000991,-0.005108,-0.002514,-0.003154,-0.000768
19260519,-0.001684,-0.004273,,-0.001463,-0.005239,-0.009432,-0.006504,-0.004058,-0.001983,-0.003084,-0.002901,-0.001399,-0.001053
19260520,0.009063,0.005745,,0.003141,-0.003806,0.009904,0.008914,0.009947,-0.000342,0.005223,0.011537,0.009434,0.009464
19260521,0.007683,0.010292,,0.005515,0.003889,0.004593,0.012958,0.014838,0.008546,0.009295,0.009029,0.010624,0.006130
19260522,0.002828,0.003251,,0.004173,0.000751,0.010566,0.004479,-0.004195,0.001847,0.005516,0.002614,0.000917,0.003345
19260524,0.004909,0.006073,,0.015307,-0.001146,0.007386,0.008968,0.006351,0.005845,0.005381,0.007335,0.006249,0.003869
19260525,0.003343,0.008203,,0.018157,0.014979,0.011107,0.003180,0.008284,0.005668,0.005078,0.002638,0.002593,0.002903
19260526,0.005789,0.003956,,0.004787,0.008820,-0.000836,0.002671,0.010239,0.001613,0.007313,0.004554,0.006953,0.005704
19260527,0.003407,0.004422,,0.005645,0.005536,0.001153,0.004009,0.006549,0.002243,0.004718,0.000375,0.006582,0.002784
19260528,0.006709,0.008897,,0.001732,0.010408,0.007747,0.010718,0.008215,0.004985,0.008011,0.006349,0.009053,0.005869
19260601,-0.004687,-0.003731,,-0.001944,-0.008915,-0.003734,-0.004306,-0.003494,-0.000849,-0.006178,-0.004185,-0.006956,-0.004198
19260602,0.005296,0.004028,,-0.005559,0.003108,0.001805,-0.003853,0.002020,0.006963,0.005889,0.003721,0.008285,0.005048
19260603,0.005005,0.008005,,0.002278,0.005791,0.012773,0.007922,0.009766,0.008668,0.008421,0.008266,0.005048,0.003609
19260604,0.001839,0.003871,,-0.017295,0.017167,0.004135,0.001916,-0.000098,-0.000039,0.002533,0.004829,0.004398,0.000586
19260605,-0.000172,-0.001399,,-0.001632,-0.000145,0.004710,0.000225,-0.004122,-0.000909,-0.003182,-0.000394,-0.000453,0.000309
19260607,0.002893,0.006471,,0.006390,0.001959,0.006538,0.007314,0.009162,0.000541,0.005387,0.004699,0.003569,0.001851
19260608,0.001063,0.001436,,-0.008121,-0.002186,-0.000210,0.002280,0.005302,0.004910,0.001604,0.000862,0.000688,0.000860
19260609,0.000047,-0.001319,,0.008535,0.002328,-0.003622,-0.004402,-0.003278,-0.005130,-0.000468,-0.002024,-0.002969,0.001845
19260610,0.001281,0.000004,,-0.002102,0.011987,-0.002211,0.000759,-0.003144,0.002602,0.003451,-0.002981,0.001394,0.001855
19260611,0.007090,0.005411,,0.007345,0.005961,0.003896,0.000756,0.001325,-0.001901,0.002042,0.005955,0.008541,0.008184
19260612,0.006195,0.005779,,0.014030,0.005449,0.007822,-0.000921,0.000846,0.005591,0.004649,0.003312,0.008895,0.006357
19260614,0.004375,0.004618,,0.012655,0.001260,0.001189,0.006180,0.000412,0.001866,0.003919,0.006147,0.001520,0.005266
19260615,0.000866,0.002349,,0.002649,0.005170,-0.001404,-0.000595,-0.003553,0.005605,0.001280,-0.000439,0.002379,0.000564
19260616,0.007197,0.007679,,0.005846,0.002831,0.008195,0.011918,0.005460,0.006812,0.006025,0.005069,0.013897,0.005640
19260617,0.006266,0.006276,,0.004041,0.003285,0.011028,0.006658,0.009217,0.005637,0.005125,0.003915,0.006120,0.006636
19260618,-0.007653,-0.003548,,0.000824,-0.009595,0.004634,-0.000465,-0.005806,-0.005126,-0.002766,0.000246,-0.014700,-0.007872
19260619,0.008609,0.004816,,-0.005232,0.002893,0.002391,0.003576,0.001935,0.005337,0.009730,0.006001,0.011194,0.008981
19260621,0.003670,0.006166,,0.010240,0.009739,0.002626,0.007414,0.003409,0.004023,0.006836,0.003253,0.007437,0.002176
19260622,0.001487,0.001036,,-0.007158,0.002240,0.001760,-0.001981,0.003749,0.000079,-0.000101,0.003986,-0.001196,0.002128
19260623,-0.008300,-0.008745,,-0.009153,-0.003287,-0.006322,-0.006506,-0.009452,-0.008730,-0.006613,-0.009331,-0.008215,-0.008376
19260624,0.002979,0.002011,,-0.004257,-0.004613,-0.000910,-0.002644,0.004549,-0.002607,0.006449,0.002096,0.005949,0.002515
19260625,-0.003642,-0.005621,,-0.018431,-0.008229,-0.007922,-0.006443,-0.005669,-0.000771,-0.006574,-0.004333,-0.004809,-0.002673
19260626,0.000542,0.001858,,-0.000868,-0.001248,0.001543,0.007561,0.003104,-0.001457,0.002259,0.000521,-0.000188,0.000430
19260628,0.002513,0.002263,,0.006591,-0.004351,0.008203,0.000464,0.000036,-0.003345,0.001812,-0.000907,0.001878,0.003681
19260629,0.005431,0.005552,,0.001661,0.004266,0.003060,0.007077,0.008981,0.004146,0.002866,0.005350,0.006792,0.005211
19260630,0.002430,0.002451,,0.003243,0.003792,0.001537,0.003649,0.001925,0.003160,-0.000422,0.003003,0.003593,0.002196
19260701,0.001200,0.001645,,-0.002577,0.004732,-0.002267,0.001370,0.001754,0.000652,-0.001634,-0.002181,0.000738,0.002162
19260702,0.004580,0.002131,,-0.011740,0.004167,-0.003850,-0.003571,0.003921,0.004499,0.004943,0.003635,0.004962,0.005080
19260706,0.001763,0.001349,,0.000984,-0.004059,0.004068,0.001743,0.007448,0.001443,0.003363,0.001617,0.002182,0.001342
19260707,0.000933,-0.001107,,-0.000154,-0.002307,-0.007068,0.001375,0.000818,0.003197,0.001233,0.000231,-0.000033,0.001373
19260708,0.002298,0.004022,,0.003963,-0.000187,-0.003979,0.001139,0.001025,-0.001764,0.002823,0.002685,0.001745,0.002783
